app_name,total_volume_mn,total_value_cr,month,year,category
Airtel Payments Bank App,5.3,460.9,Apr,2022,Bank App
Amazon Pay,73.21,6699.57,Apr,2022,Payment App
Au Small Finance Bank App,0.32,109.89,Apr,2022,Bank App
Axis Bank App,64.03,1257.15,Apr,2022,Bank App
Bajaj Finserv,0.52,38.61,Apr,2022,Payment App
Bank Of Baroda App,0.77,344.65,Apr,2022,Bank App
Bank Of India App,0.1,32.62,Apr,2022,Bank App
Bank Of Maharashtra App,0.05,14.56,Apr,2022,Bank App
Bhim,25.69,8354.34,Apr,2022,Payment App
Canara Bank App,0.31,110.31,Apr,2022,Bank App
Central Bank Of India App,0.13,51.04,Apr,2022,Bank App
Citi Bank App,0.08,66.03,Apr,2022,Bank App
City Union Bank App,0.03,8.41,Apr,2022,Bank App
Cointab,0.07,28.5,Apr,2022,Payment App
Cred,13.05,16372.92,Apr,2022,Payment App
Dbs Digibank App,0.47,175.45,Apr,2022,Bank App
Deutsche Bank App,1.51,128.43,Apr,2022,Bank App
Dhanlaxmi Bank App,0.01,3.02,Apr,2022,Bank App
Fave,0.18,7.73,Apr,2022,Payment App
Federal Bank App,2.7,375.64,Apr,2022,Bank App
Fino Payments Bank App,0.04,3.26,Apr,2022,Bank App
Finserv Markets,0.01,1.06,Apr,2022,Bank App
Finshell Pay,0.08,4.45,Apr,2022,Payment App
Goibibo,0.01,3.31,Apr,2022,Bank App
Google Pay,1914.77,344791.35,Apr,2022,Payment App
Groww,0.61,376.18,Apr,2022,Payment App
Hdfc Bank App,5.9,1759.12,Apr,2022,Bank App
Hsbc Bank App,0.11,59.72,Apr,2022,Bank App
Icici Bank App,37.65,9356.17,Apr,2022,Bank App
Idbi Bank App,0.03,16.78,Apr,2022,Bank App
Idfc Bank App,2.49,532.69,Apr,2022,Bank App
India Post Payments Bank App,2.8,328.53,Apr,2022,Bank App
Indian Bank App,0.14,49.9,Apr,2022,Bank App
Indian Overseas Bank App,0.01,1.52,Apr,2022,Bank App
Indusind Bank App,1.02,2596.71,Apr,2022,Bank App
Janta Sahakari Bank App,0.01,4.28,Apr,2022,Bank App
Jio Payments Bank App,2.1,126.25,Apr,2022,Bank App
Jupiter,1.47,186.13,Apr,2022,Bank App
Jupiter Edge (Livquick Ppi),0.01,0.43,Apr,2022,Bank App
Karnataka Bank App,0.27,35.58,Apr,2022,Bank App
Karur Vysya Bank App,0.04,18.54,Apr,2022,Bank App
Kotak Mahindra Bank App,7.96,1684.35,Apr,2022,Bank App
Makemytrip,0.09,41.18,Apr,2022,Bank App
Mi Pay,0.19,28.58,Apr,2022,Bank App
Mobikwik,2.37,421.47,Apr,2022,Payment App
Nsdl Payments Bank App,0.02,2.32,Apr,2022,Bank App
Paytm Payments Bank App,851.61,101649.06,Apr,2022,Payment App
PhonePe,2616.26,486557.03,Apr,2022,Payment App
Punjab National Bank App,0.09,46.27,Apr,2022,Bank App
Punjab Sindh Bank App,0.01,5.38,Apr,2022,Bank App
Rbl Bank App,0.3,113.65,Apr,2022,Bank App
Samsung Pay,3.81,470.11,Apr,2022,Bank App
South Indian Bank App,0.13,45.03,Apr,2022,Bank App
Standard Chartered Bank App,0.12,68.15,Apr,2022,Bank App
Sbi Bank App,4.03,2118.0,Apr,2022,Bank App
Superpay,0.02,0.4,Apr,2022,Bank App
Tamilnad Mercantile Bank App,0.01,0.26,Apr,2022,Bank App
Tata Neu,0.35,32.82,Apr,2022,Bank App
Uco Bank App,0.21,41.48,Apr,2022,Bank App
Ultracash,0.03,2.22,Apr,2022,Bank App
Union Bank App,0.42,198.34,Apr,2022,Bank App
Utkarsh Small Finance Bank App,0.01,3.88,Apr,2022,Bank App
Whatsapp,2.5,242.4,Apr,2022,Bank App
Yes Bank App,34.07,10246.99,Apr,2022,Bank App
Yuvapay,0.06,103.34,Apr,2022,Bank App
Others,0.02,8.26,Apr,2022,Bank App
Allahabad Bank App,0.03,7.7,Aug,2022,Bank App
Amazon Pay,62.43,6353.15,Aug,2022,Payment App
Au Small Finance Bank App,0.45,138.7,Aug,2022,Bank App
Axis Bank App,58.11,1357.89,Aug,2022,Bank App
Bajaj Finserv,2.45,178.59,Aug,2022,Payment App
Bajaj Markets,0.02,1.58,Aug,2022,Bank App
Bandhan Bank App,0.01,1.25,Aug,2022,Bank App
Bank Of Baroda App,0.99,383.43,Aug,2022,Bank App
Bank Of India App,0.17,54.81,Aug,2022,Bank App
Bank Of Maharashtra App,0.07,17.19,Aug,2022,Bank App
Bhim,24.99,7860.48,Aug,2022,Payment App
Canara Bank App,0.67,176.37,Aug,2022,Bank App
Central Bank Of India App,0.24,64.59,Aug,2022,Bank App
Citi Bank App,0.11,63.08,Aug,2022,Bank App
City Union Bank App,0.04,11.45,Aug,2022,Bank App
Cointab,0.06,24.98,Aug,2022,Payment App
Cred,14.81,19084.3,Aug,2022,Payment App
Dbs Digibank App,0.48,178.76,Aug,2022,Bank App
Deutsche Bank App,1.98,119.21,Aug,2022,Bank App
Dhanlaxmi Bank App,0.01,3.1,Aug,2022,Bank App
Equitas Small Finance Bank App,0.01,4.94,Aug,2022,Bank App
Fave,0.14,7.71,Aug,2022,Payment App
Federal Bank App,3.8,520.2,Aug,2022,Bank App
